RADAR_NAME  SITE_NAME     LAT_DEG LAT_MIN LAT_SEC  LON_DEG LON_MIN LON_SEC ELEV
KBBX        BealeAFB      39      29      33       121     36      30        67
KBRO        Brwnsvil      25      54      58        97     25      08        27
KHNX        Hanford       36      18      51       119     37      56        99
KSHV        Shrvport      32      27      03        93     50      29       118
KWSD        Holloman      33      04      35       106     07      20      1302
KSRX        Tucson        31      53      37       110     37      49      1618
PDON        Kamuela       20      05      48       155     44      47      1464
MGDT        GrndTurk      21      27      39        71     07      53        45
KESX        LasVegas      35      42      04       114     53      30      1508
KMQT        Marquett      46      31      52        87     32      55       465
KGRR        GrndRapd      42      53      38        85     32      41       266
PJAE        S.Kauai       21      53      39       159     33      08        89
KAPX        Alpena        44      54      26        84     43      11       475
KDLH        Duluth        46      50      13        92     12      35       470
KNKX        SanDiego      32      55      08       117     02      31       320
KLNX        N.Platte      41      57      28       100     34      35       935
KICX        CedrCity      37      35      27       112     51      44      3266
PRCW        MdltnIsl      59      25      59       146     20      02        61
KLRX        ElkoNV        40      44      24       116     48      06      2090
KBTV        Brlngton      44      30      18        73     09      35       126
PWRC        SitkaAK       56      51      09       135     31      44        83
KMAX        Medford       42      04      52       122     42      58      2305
KFSX        Flgstaff      34      34      28       111     11      52      2291
KGJX        GrndJnxn      39      03      44       108     12      50      3064
KUDX        RpdCity       44      07      30       102     49      47       954
KRIW        Riverton      43      03      58       108     28      38      1716
KPDT        Pndlton       45      41      26       118     51      10       482
KARX        LaCrosse      43      49      22        91     11      28       414
KYUM        YumaAZ        32      39      45       114     36      40        82
KOTX        Spokane       47      40      51       117     37      39       747
KMVX        GrndFork      47      31      40        97     19      32       329
KBLX        Billings      45      51      14       108     36      24      1116
KEYW        KeyWest       24      35      51        81     42      11        28
KGGW        Glasgow       48      12      23       106     37      30       718
KEPZ        ElPaso        31      52      23       106     41      53      1285
KCRP        CrpsCrst      27      46      45        97     30      22        38
KSJT        SanAnglo      31      22      17       100     29      33       609
KVAX        MoodyAFB      30      33      29        83     00      21        77
PDVS        KngSalmn      58      40      46       156     37      46        44
PGGR        BethelAK      60      47      31       161     52      36        72
PJMG        NomeAK        64      29      46       165     19      06        60
PUGA        Guam USA      13      27      14       144     48      28        00 
UNKN        Unknown       00      00      00        00     00      00       000 
