-1. -5. -20. -60.
2.985e2 3.162e2 3.548e2 3.981e2 4.467e2 5.012e2 5.623e2 6.310e2 7.943e2 1e3 1.259e3 2.5e3 5.0e3 1.0e4 2.0e4 3.2e4 3.5e4 4.0e4 4.5e4 5.0e4  6.0e4 
(1.7948,1.665e-2) (1.7948,1.665e-2) (1.7948,1.540e-2) (1.7948,1.235e-2)
(1.7921,1.620e-2) (1.7921,1.6e-2) (1.7921,1.47e-2) (1.7921,1.08e-2)
(1.7884,1.55e-2) (1.7884,1.5e-2) (1.7884,1.35e-2) (1.7884,8.9e-3)
(1.786,1.47e-2) (1.786,1.4e-2) (1.786,1.25e-2) (1.786,7.34e-3)
(1.7843,1.39e-2) (1.7843,1.31e-2) (1.7843,1.15e-2) (1.7843,6.4e-3)
(1.7832,1.32e-2) (1.7832,1.23e-2) (1.7832,1.06e-2) (1.7832,5.6e-3)
(1.7825,1.25e-2) (1.7825,1.15e-2) (1.7825,9.77e-3) (1.7825,5.0e-3)
(1.7820,1.18e-2) (1.7820,1.08e-2) (1.7820,9.01e-3) (1.7820,4.52e-3)
(1.7817,1.06e-2) (1.7817,9.46e-3) (1.7816,7.66e-3) (1.7815,3.68e-3)
(1.7816,9.54e-3) (1.7816,8.29e-3) (1.7814,6.52e-3) (1.7807,2.99e-3)
(1.7819,8.56e-3) (1.7819,7.27e-3) (1.7816,5.54e-3) (1.7801,2.49e-3)
(1.7830,6.21e-3) (1.7830,4.91e-3) (1.7822,3.42e-3) (1.7789,1.55e-3)
(1.7843,4.49e-3) (1.7843,3.3e-3) (1.7843,2.1e-3) (1.7843,9.61e-4)
(1.7852,3.24e-3) (1.7852,2.22e-3) (1.7838,1.29e-3) (1.7773,5.95e-4)
(1.7862,2.34e-3) (1.7861,1.49e-3) (1.7839,7.93e-4) (1.7772,3.69e-4)
(1.7866,1.88e-3) (1.7863,1.14e-3) (1.7840,5.7e-4) (1.7772,2.67e-4)
(1.7868,1.74e-3) (1.7864,1.06e-3) (1.7840,5.35e-4) (1.7772,2.51e-4)
(1.7869,1.5e-3) (1.7865,9.48e-4) (1.7840,4.82e-4) (1.7772,2.29e-4)
(1.7870,1.32e-3) (1.7865,8.5e-4) (1.7840,4.38e-4) (1.7772,2.11e-4)
(1.7870,1.16e-3) (1.7865,7.66e-4) (1.7840,4.08e-4) (1.7772,1.96e-4)
(1.7871,8.8e-4) (1.7865,6.3e-4) (1.7839,3.5e-4) (1.7772,1.73e-4)

