!       Most of this info might be from the Explanatory Supplement
!       of the Astronomical Almanac (1992/3)
!       We can check the New Solar System (1989) to see if it's from there
!
!       We are supplementing this with the JPL/SSV info
!
!        Sun
!        i   j    v(1,0)  opp_corr   radius_km     name
         8   0     -6.87     0.       24300.       Neptune
         8   1     -1.24     0.        1900.       Triton
         8   2      +4.0     0.         150.       Nereid
         8   3      +4.0     0.         150.       1989N1
         8   4      +4.0     0.         150.       1989N2
         8   5      +4.0     0.         150.       1989N3
         8   6      +4.0     0.         150.       1989N4
         8   7      +4.0     0.         150.       1989N5
         8   8      +4.0     0.         150.       1989N6
!
!       Pluto (mean opposition - v10 = ??)
         9   0      -1.01    0.        1500.       Pluto
         9   1      +0.9     0.         750.       Charon
!
!       Ceres
        10   0      +3.38    0.         600.       Ceres
!
!       Pallas
        11   0      +4.51    0.         600.       Pallas
!
!       Vesta
        12   0      +3.55    0.         600.       Vesta
!
!       Juno
        13   0      +5.58    0.         600.       Juno
