360	0.000130	0.000004	0.000606	0.000000	0.000000	0.000001
380	0.001368	0.000039	0.006450	0.000160	0.000017	0.000705
400	0.014310	0.000396	0.067850	0.019110	0.002004	0.086011
420	0.134380	0.004000	0.645600	0.204492	0.021391	0.972542
440	0.348280	0.023000	1.747060	0.383734	0.062077	1.967280
460	0.290800	0.060000	1.669200	0.302273	0.128201	1.745370
480	0.095640	0.139020	0.812950	0.080507	0.253589	0.772125
500	0.004900	0.323000	0.272000	0.003816	0.460777	0.218502
520	0.063270	0.710000	0.078250	0.117749	0.761757	0.060709
540	0.290400	0.954000	0.020300	0.376772	0.961988	0.013676
560	0.594500	0.995000	0.003900	0.705224	0.997340	0.000000
580	0.916300	0.870000	0.001650	1.014160	0.868934	0.000000
600	1.062200	0.631000	0.000800	1.123990	0.658341	0.000000
620	0.854450	0.381000	0.000190	0.856297	0.398057	0.000000
640	0.447900	0.175000	0.000020	0.431567	0.179828	0.000000
660	0.164900	0.061000	0.000000	0.152568	0.060281	0.000000
680	0.046770	0.017000	0.000000	0.040851	0.015905	0.000000
700	0.011359	0.004102	0.000000	0.009577	0.003718	0.000000
720	0.002899	0.001047	0.000000	0.002175	0.000846	0.000000
740	0.000690	0.000249	0.000000	0.000508	0.000199	0.000000
760	0.000166	0.000060	0.000000	0.000126	0.000050	0.000000
780	0.000042	0.000015	0.000000	0.000033	0.000013	0.000000
